0.00,0.00
0.02,0.00
0.03,0.00
0.05,-0.01
0.07,-0.02
0.08,-0.02
0.10,-0.03
0.12,-0.04
0.13,-0.05
0.15,-0.06
0.17,-0.07
0.18,-0.08
0.20,-0.10
0.22,-0.11
0.23,-0.13
0.25,-0.14
0.27,-0.15
0.28,-0.17
0.30,-0.18
0.32,-0.19
0.33,-0.21
0.35,-0.22
0.37,-0.24
0.38,-0.25
0.40,-0.27
0.42,-0.29
0.43,-0.30
0.45,-0.32
0.47,-0.33
0.48,-0.35
0.50,-0.36
0.52,-0.38
0.54,-0.40
0.55,-0.41
0.57,-0.43
0.59,-0.45
0.60,-0.47
0.62,-0.49
0.64,-0.51
0.65,-0.53
0.67,-0.54
0.69,-0.55
0.70,-0.56
0.72,-0.58
0.74,-0.59
0.75,-0.60
0.77,-0.61
0.79,-0.63
0.80,-0.64
0.82,-0.66
0.84,-0.67
0.85,-0.69
0.87,-0.70
0.89,-0.72
0.90,-0.74
0.92,-0.75
0.94,-0.77
0.95,-0.79
0.97,-0.81
0.99,-0.83
1.00,-0.85
1.02,-0.87
1.04,-0.89
1.05,-0.90
1.07,-0.92
1.09,-0.94
1.10,-0.96
1.12,-0.98
1.14,-1.00
1.15,-1.02
1.17,-1.03
1.19,-1.04
1.20,-1.06
1.22,-1.08
1.24,-1.09
1.25,-1.11
1.27,-1.12
1.29,-1.14
1.30,-1.15
1.32,-1.17
1.34,-1.18
1.35,-1.19
1.37,-1.21
1.39,-1.22
1.40,-1.23
1.42,-1.25
